epoch,loss_lb,loss_ub,miou_stu,miou_tea,best,best-stu
0,0.3987912654876709,0.09692143760621548,0.5561104362769415,0.5561104362769415,0.5561104362769415,0.5561104362769415
1,0.1904729302972555,0.10288596991449594,0.6248128885933752,0.6492952958321481,0.6492952958321481,0.6248128885933752
2,0.22788482904434204,0.12255356218665839,0.6621047474392422,0.6813536358128646,0.6813536358128646,0.6621047474392422
3,0.17765455171465874,0.10273111034184694,0.6796876557883872,0.6994653706376202,0.6994653706376202,0.6796876557883872
4,0.15396794751286508,0.11308816317468881,0.6936948010001579,0.7118837132483358,0.7118837132483358,0.6936948010001579
5,0.15554540157318114,0.10781767461448907,0.7005768431631788,0.7189203113380225,0.7189203113380225,0.7005768431631788
6,0.1290914636105299,0.11867468133568763,0.6975237442841495,0.7232135133403331,0.7232135133403331,0.7005768431631788
7,0.1197922695428133,0.10469375718384981,0.7201484254060728,0.7273111345867681,0.7273111345867681,0.7201484254060728
8,0.11749705523252488,0.10232814438641072,0.7123908667077489,0.7313908525817758,0.7313908525817758,0.7201484254060728
9,0.1076211292296648,0.08823976721614599,0.7224063504606762,0.7353682837871451,0.7353682837871451,0.7224063504606762
10,0.10099442526698113,0.11626131180673838,0.7369131048123844,0.7418192758103429,0.7418192758103429,0.7369131048123844
11,0.10578196495771408,0.12384892823174595,0.7201419412600496,0.7433620634285555,0.7433620634285555,0.7369131048123844
12,0.09864540975540877,0.1127749128267169,0.7379023624897639,0.743683755753599,0.743683755753599,0.7379023624897639
13,0.09380067139863968,0.12343168966472148,0.7336234743482253,0.7470121759780989,0.7470121759780989,0.7379023624897639
14,0.09246210753917694,0.13006411399692297,0.7359955088813245,0.7463968533631476,0.7470121759780989,0.7379023624897639
15,0.09828680753707886,0.12997371926903725,0.733012939855743,0.7463882902352916,0.7470121759780989,0.7379023624897639
16,0.09865049310028554,0.11547253951430321,0.7353044212445594,0.7466449389498563,0.7470121759780989,0.7379023624897639
17,0.0884845232591033,0.12975094988942146,0.7443124890973726,0.7504845922192825,0.7504845922192825,0.7443124890973726
18,0.08741491418331862,0.1295395789667964,0.7445725884038419,0.7518684826945885,0.7518684826945885,0.7445725884038419
19,0.0781524758785963,0.10769098289310933,0.7526688937266092,0.7554533608661923,0.7554533608661923,0.7526688937266092
20,0.10369272008538247,0.0947525255382061,0.7415647743980983,0.7536756948526157,0.7554533608661923,0.7526688937266092
21,0.08251934759318828,0.10825369013473392,0.7368820409154768,0.7570768719508006,0.7570768719508006,0.7526688937266092
22,0.07553178798407316,0.08563734833151102,0.7485763211396934,0.7573214904999193,0.7573214904999193,0.7526688937266092
23,0.07524563428014516,0.11071571931242943,0.7421223098965447,0.7538262649140177,0.7573214904999193,0.7526688937266092
24,0.07861614972352982,0.11111790165305138,0.740775041710034,0.7561434923284328,0.7573214904999193,0.7526688937266092
25,0.07700819354504347,0.09644027426838875,0.7435202816369485,0.7532325543945798,0.7573214904999193,0.7526688937266092
26,0.06641040798276662,0.1292525850236416,0.7383733683705097,0.7559325212739461,0.7573214904999193,0.7526688937266092
27,0.07479337062686682,0.08846962777897716,0.7482328036609505,0.756465509084272,0.7573214904999193,0.7526688937266092
28,0.07143435440957546,0.1275618441402912,0.7531990898566648,0.7563417052188031,0.7573214904999193,0.7531990898566648
29,0.07256068643182516,0.1194964399561286,0.7340217658848932,0.7600089320296826,0.7600089320296826,0.7531990898566648
